,B21_MB1-LCO1490,bath8-LCO1490_G04.ab1,bathy13-LCO1490,bathy14-LCO1490,lcl|LC456808_B_nipponica_OK,lcl|LC456809_B_nipponica_OK,lcl|LC456810_B_nipponica_OK,lcl|LC456811_B_nipponica_OK,lcl|LC456812_B_nipponica_OK,lcl|LC456813_B_nipponica_OK,lcl|LC456814_B_nipponica_OK,lcl|LC456815_B_nipponica_SCS,lcl|LC456816_B_nipponica_Sagami,lcl|LC456817_B_nipponica_Sagami,lcl|LC456818_B_nipponica_Sagami,lcl|LC456819_B_nipponica_Sagami,lcl|LC456821_B_nipponica_Sagami,lcl|LC456822_B_nipponica_OK,lcl|LC456824_B_nipponica_Sagami,lcl|LC456825_B_nipponica_OK,lcl|LC456826_B_nipponica_Sagami,lcl|LC456827_B_nipponica_OK,lcl|LC456828_B_nipponica_Sagami,lcl|LC456829_B_nipponica_Sagami,lcl|LC456830_B_nipponica_OK,lcl|LC456831_B_nipponica_OK,lcl|LC456832_B_nipponica_OK,lcl|LC456833_B_nipponica_OK,lcl|LC456834_B_nipponica_OK,lcl|LC456835_B_nipponica_OK,lcl|LC456836_B_nipponica_OK,lcl|LC456838_B_nipponica_OK,lcl|MG253685_B_becki_Manus,lcl|MG253686_B_lactea_Manus,lcl|MK341688_B_austrina_OK,lcl|MN180052_B_brevidenta_SCS,lcl|MN180053_B_brevidenta_SCS,lcl|MN631156_B_sp_Seamount,lcl|MN631157_B_sp_Seamount,lcl|MT309592_B_nipponica_OK,lcl|MT309593_B_nipponica_OK,lcl|MT772317_B_lactea_Manus,lcl|MW497306_B_sp_Mariana,lcl|MW497307_B_sp_Mariana
lcl|LC456835_B_nipponica_OK,287,323,310,310,208.4,129,275.4,229.5,491,164,491,335,301,301,301,301,301,0,301,82,301,164,301,301,491,0,491,0,86,0,491,491,267,310.5,99,353,353,1477,1477,92,390,335.5,2157,1806
lcl|LC456836_B_nipponica_OK,778,814,801,801,282.6,362,215.6,261.5,0,327,0,156,190,190,190,190,190,491,190,409,190,327,190,190,0,491,0,491,405,491,0,0,758,801.5,392,138,138,1968,1968,583,101,155.5,2648,2297
lcl|LC456838_B_nipponica_OK,778,814,801,801,282.6,362,215.6,261.5,0,327,0,156,190,190,190,190,190,491,190,409,190,327,190,190,0,491,0,491,405,491,0,0,758,801.5,392,138,138,1968,1968,583,101,155.5,2648,2297
lcl|MG253685_B_becki_Manus,20,56,43,43,475.4,396,542.4,496.5,758,431,758,602,568,568,568,568,568,267,568,349,568,431,568,568,758,267,758,267,353,267,758,758,0,43.5,366,620,620,1210,1210,175,657,602.5,1890,1539
lcl|MG253686_B_lactea_Manus,23.5,12.5,0.5,0.5,518.9,439.5,585.9,540,801.5,474.5,801.5,645.5,611.5,611.5,611.5,611.5,611.5,310.5,611.5,392.5,611.5,474.5,611.5,611.5,801.5,310.5,801.5,310.5,396.5,310.5,801.5,801.5,43.5,0,409.5,663.5,663.5,1166.5,1166.5,218.5,700.5,646,1846.5,1495.5
lcl|MK341688_B_austrina_OK,386,422,409,409,109.4,30,176.4,130.5,392,65,392,236,202,202,202,202,202,99,202,17,202,65,202,202,392,99,392,99,13,99,392,392,366,409.5,0,254,254,1576,1576,191,291,236.5,2256,1905
lcl|MN180052_B_brevidenta_SCS,640,676,663,663,144.6,224,77.6,123.5,138,189,138,18,52,52,52,52,52,353,52,271,52,189,52,52,138,353,138,353,267,353,138,138,620,663.5,254,0,0,1830,1830,445,37,17.5,2510,2159
lcl|MN180053_B_brevidenta_SCS,640,676,663,663,144.6,224,77.6,123.5,138,189,138,18,52,52,52,52,52,353,52,271,52,189,52,52,138,353,138,353,267,353,138,138,620,663.5,254,0,0,1830,1830,445,37,17.5,2510,2159
lcl|MN631156_B_sp_Seamount,1190,1154,1167,1167,1685.4,1606,1752.4,1706.5,1968,1641,1968,1812,1778,1778,1778,1778,1778,1477,1778,1559,1778,1641,1778,1778,1968,1477,1968,1477,1563,1477,1968,1968,1210,1166.5,1576,1830,1830,0,0,1385,1867,1812.5,680,329
lcl|MN631157_B_sp_Seamount,1190,1154,1167,1167,1685.4,1606,1752.4,1706.5,1968,1641,1968,1812,1778,1778,1778,1778,1778,1477,1778,1559,1778,1641,1778,1778,1968,1477,1968,1477,1563,1477,1968,1968,1210,1166.5,1576,1830,1830,0,0,1385,1867,1812.5,680,329
lcl|MT309592_B_nipponica_OK,195,231,218,218,300.4,221,367.4,321.5,583,256,583,427,393,393,393,393,393,92,393,174,393,256,393,393,583,92,583,92,178,92,583,583,175,218.5,191,445,445,1385,1385,0,482,427.5,2065,1714
lcl|MT309593_B_nipponica_OK,677,713,700,700,181.6,261,114.6,160.5,101,226,101,55,89,89,89,89,89,390,89,308,89,226,89,89,101,390,101,390,304,390,101,101,657,700.5,291,37,37,1867,1867,482,0,54.5,2547,2196
lcl|MT772317_B_lactea_Manus,622.5,658.5,645.5,645.5,127.1,206.5,60.1,106,155.5,171.5,155.5,0.5,34.5,34.5,34.5,34.5,34.5,335.5,34.5,253.5,34.5,171.5,34.5,34.5,155.5,335.5,155.5,335.5,249.5,335.5,155.5,155.5,602.5,646,236.5,17.5,17.5,1812.5,1812.5,427.5,54.5,0,2492.5,2141.5
lcl|MW497306_B_sp_Mariana,1870,1834,1847,1847,2365.4,2286,2432.4,2386.5,2648,2321,2648,2492,2458,2458,2458,2458,2458,2157,2458,2239,2458,2321,2458,2458,2648,2157,2648,2157,2243,2157,2648,2648,1890,1846.5,2256,2510,2510,680,680,2065,2547,2492.5,0,351
lcl|MW497307_B_sp_Mariana,1519,1483,1496,1496,2014.4,1935,2081.4,2035.5,2297,1970,2297,2141,2107,2107,2107,2107,2107,1806,2107,1888,2107,1970,2107,2107,2297,1806,2297,1806,1892,1806,2297,2297,1539,1495.5,1905,2159,2159,329,329,1714,2196,2141.5,351,0
